EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
844345.659,-46867.465,827957.835,-29684.613,30467.194,71512.432,35799.807,39127.875,-0.115,0.981,-0.144,0.488,1.617,-0.244,60.000,80.000,1.000
836005.997,-46386.547,820763.098,-29261.032,30406.704,66137.359,35042.855,38798.365,-0.115,0.981,-0.144,0.427,1.526,-0.153,60.000,81.000,1.000
828267.680,-46566.032,813013.660,-31376.810,31359.200,61709.804,34592.185,38433.905,-0.114,0.979,-0.144,0.305,1.465,-0.031,60.000,82.000,1.000
821298.990,-47380.454,805075.505,-33355.150,31501.899,57273.218,34517.381,37972.772,-0.115,0.980,-0.141,0.214,1.404,0.061,60.000,83.000,1.000
813990.319,-47932.968,797357.717,-32786.500,29934.561,52116.856,34201.488,37289.237,-0.116,0.982,-0.143,0.305,1.404,0.061,60.000,84.000,1.000
805409.252,-47691.800,789667.560,-30761.048,27755.056,46712.376,33097.421,36267.353,-0.116,0.981,-0.143,0.183,1.343,0.000,60.000,85.000,1.000
796015.258,-47189.802,781448.347,-30256.908,26448.081,42007.604,31382.152,34889.447,-0.115,0.982,-0.143,0.153,1.373,0.031,60.000,86.000,1.000
787032.319,-47266.791,772561.347,-32059.893,25907.124,38121.492,29666.357,33247.834,-0.115,0.980,-0.139,0.183,1.251,0.061,60.000,87.000,1.000
778898.834,-47932.915,763543.708,-33816.566,24768.438,34227.138,28223.924,31491.142,-0.116,0.981,-0.141,0.153,1.221,0.061,60.000,88.000,1.000
770874.247,-48395.072,754995.548,-33344.207,22450.381,29715.215,26780.799,29760.795,-0.115,0.981,-0.141,0.122,1.343,0.000,60.000,89.000,1.000
762217.406,-48156.457,746913.108,-31540.956,20017.445,24991.506,25058.956,28148.029,-0.115,0.981,-0.144,0.092,1.251,-0.061,60.000,90.000,1.000
753244.968,-47664.419,738822.804,-31015.935,18744.826,20863.997,23257.419,26680.776,-0.112,0.983,-0.146,0.031,1.312,-0.122,60.000,91.000,1.000
744860.559,-47663.757,730475.842,-32510.083,18433.541,17435.062,21813.153,25338.520,-0.112,0.983,-0.147,0.000,1.373,-0.153,60.000,92.000,1.000
737291.325,-48189.384,722152.172,-34021.674,17754.772,14008.624,20809.574,24080.932,-0.114,0.982,-0.146,-0.031,1.434,-0.122,60.000,93.000,1.000
729790.371,-48562.599,714217.447,-33642.152,16055.250,10070.059,19859.782,22871.291,-0.112,0.980,-0.143,0.061,1.526,-0.244,60.000,94.000,1.000
721660.838,-48336.524,706596.401,-32087.334,14142.537,5949.820,18610.349,21686.225,-0.112,0.980,-0.142,0.000,1.587,-0.092,60.000,95.000,1.000
713162.551,-47874.441,698883.634,-31571.360,13090.746,2313.525,17175.681,20518.383,-0.112,0.980,-0.143,-0.031,1.617,-0.061,60.000,96.000,1.000
705102.603,-47815.910,690901.192,-32767.613,12797.768,-749.875,15943.150,19377.114,-0.112,0.979,-0.144,-0.061,1.678,-0.122,60.000,97.000,1.000
697736.737,-48212.858,682922.951,-34028.556,12218.735,-3803.335,15048.932,18281.736,-0.112,0.979,-0.142,-0.061,1.801,-0.031,60.000,98.000,1.000
690479.478,-48503.569,675285.049,-33737.418,10827.749,-7264.064,14229.266,17245.396,-0.112,0.980,-0.143,-0.031,1.770,-0.092,60.000,99.000,1.000
682742.602,-48299.341,667940.942,-32441.166,9270.957,-10868.933,13203.844,16262.567,-0.110,0.978,-0.141,0.092,1.801,-0.061,60.000,100.000,1.000
674707.711,-47883.850,660553.769,-31957.666,8415.254,-14085.989,12043.246,15316.168,-0.110,0.979,-0.141,0.061,1.892,0.031,60.000,101.000,1.000
667020.366,-47787.376,652961.103,-32877.227,8186.115,-16841.603,11043.424,14397.602,-0.112,0.980,-0.142,0.000,2.045,0.031,60.000,102.000,1.000
659898.475,-48069.887,645368.516,-33889.055,7745.541,-19578.353,10316.480,13514.485,-0.111,0.982,-0.142,0.092,2.197,0.061,60.000,103.000,1.000
652879.060,-48281.104,638041.852,-33667.915,6656.260,-22624.627,9657.695,12675.924,-0.112,0.981,-0.141,0.122,2.258,0.031,60.000,104.000,1.000
